s3.filter.label,"Filtern Sie nach Präfix auf S3: "
s3.filter.placeholder,Nach Präfix filtern
s3.filter.clear,Filter löschen
s3.form.not-valid,Das Formular ist ungültig
s3.form.missing-bucket,Bitte wählen Sie einen Bucket zum Hochladen aus
s3.upload.error,"Das Hochladen der File ist fehlgeschlagen! Bitte überprüfen Sie Ihre S3-Anmeldeinformationen, Zugriffs- und Benutzerrechte für den ausgewählten Bucket"
s3.upload.success,%s wurde erfolgreich auf %s hochgeladen
s3.delete.success,Files: %s wurde erfolgreich aus %s gelöscht
s3.delete.error,"File wurde nicht erfolgreich gelöscht! Bitte überprüfen Sie Ihre S3-Anmeldeinformationen, Zugriffs- und Benutzerrechte für den ausgewählten Bucket"
s3.delete.confirmation,Bestätigen Sie das Löschen der Datei
s3.delete.confirmation-message,"Sind Sie sicher, dass Sie aus S3 löschen möchten?"
s3.delete.abort,"Nein, behalten Sie die File"
s3.delete.file.confirm,"Ja, löschen Sie die File"
s3.delete.multiple.confirm,"Ja, markierte Files löschen"

